nohup: ignoring input
Head parameter counts at d=4:
  rank=0     8 params (VQC: 24)
  rank=1    16 params (VQC: 24)
  rank=2    24 params (VQC: 24)  <-- matches VQC exactly
  rank=4    40 params (VQC: 24)
  rank=8    72 params (VQC: 24)

Capacity sweep | 1000 cells | classical only, cached features
  device=cuda sha=ec5cae63
[116/1000] breastmnist n=20 s=777 rank=0 auc=0.6694 f1=0.5380 ETA 0.2h
[117/1000] breastmnist n=20 s=777 rank=1 auc=0.6865 f1=0.6159 ETA 0.2h
[118/1000] breastmnist n=20 s=777 rank=2 auc=0.7657 f1=0.5745 ETA 0.2h
[119/1000] breastmnist n=20 s=777 rank=4 auc=0.7655 f1=0.5745 ETA 0.2h
[120/1000] breastmnist n=20 s=777 rank=8 auc=0.7312 f1=0.4645 ETA 0.2h
[121/1000] breastmnist n=20 s=888 rank=0 auc=0.7076 f1=0.3651 ETA 0.2h
[122/1000] breastmnist n=20 s=888 rank=1 auc=0.6355 f1=0.6141 ETA 0.2h
[123/1000] breastmnist n=20 s=888 rank=2 auc=0.7072 f1=0.6267 ETA 0.2h
[124/1000] breastmnist n=20 s=888 rank=4 auc=0.7066 f1=0.6359 ETA 0.2h
[125/1000] breastmnist n=20 s=888 rank=8 auc=0.6610 f1=0.6149 ETA 0.2h
[126/1000] breastmnist n=20 s=31337 rank=0 auc=0.7072 f1=0.5288 ETA 0.2h
[127/1000] breastmnist n=20 s=31337 rank=1 auc=0.7214 f1=0.6073 ETA 0.2h
[128/1000] breastmnist n=20 s=31337 rank=2 auc=0.7187 f1=0.3210 ETA 0.2h
[129/1000] breastmnist n=20 s=31337 rank=4 auc=0.7212 f1=0.3458 ETA 0.2h
[130/1000] breastmnist n=20 s=31337 rank=8 auc=0.7619 f1=0.5654 ETA 0.2h
[131/1000] breastmnist n=20 s=8 rank=0 auc=0.7517 f1=0.4931 ETA 0.2h
[132/1000] breastmnist n=20 s=8 rank=1 auc=0.7615 f1=0.6885 ETA 0.2h
[133/1000] breastmnist n=20 s=8 rank=2 auc=0.7544 f1=0.4871 ETA 0.2h
[134/1000] breastmnist n=20 s=8 rank=4 auc=0.7602 f1=0.2368 ETA 0.2h
[135/1000] breastmnist n=20 s=8 rank=8 auc=0.7690 f1=0.5974 ETA 0.2h
[136/1000] breastmnist n=20 s=271828 rank=0 auc=0.6690 f1=0.4886 ETA 0.2h
[137/1000] breastmnist n=20 s=271828 rank=1 auc=0.6752 f1=0.4417 ETA 0.2h
[138/1000] breastmnist n=20 s=271828 rank=2 auc=0.6723 f1=0.5487 ETA 0.2h
[139/1000] breastmnist n=20 s=271828 rank=4 auc=0.6681 f1=0.5571 ETA 0.2h
[140/1000] breastmnist n=20 s=271828 rank=8 auc=0.6610 f1=0.6195 ETA 0.2h
[141/1000] breastmnist n=20 s=161803 rank=0 auc=0.7471 f1=0.6683 ETA 0.2h
[142/1000] breastmnist n=20 s=161803 rank=1 auc=0.7529 f1=0.5696 ETA 0.2h
[143/1000] breastmnist n=20 s=161803 rank=2 auc=0.7178 f1=0.5615 ETA 0.2h
[144/1000] breastmnist n=20 s=161803 rank=4 auc=0.7176 f1=0.5076 ETA 0.2h
[145/1000] breastmnist n=20 s=161803 rank=8 auc=0.7586 f1=0.7107 ETA 0.2h
[146/1000] breastmnist n=20 s=1414 rank=0 auc=0.7421 f1=0.6184 ETA 0.2h
[147/1000] breastmnist n=20 s=1414 rank=1 auc=0.7377 f1=0.6876 ETA 0.2h
[148/1000] breastmnist n=20 s=1414 rank=2 auc=0.7364 f1=0.6394 ETA 0.2h
[149/1000] breastmnist n=20 s=1414 rank=4 auc=0.7437 f1=0.6721 ETA 0.2h
[150/1000] breastmnist n=20 s=1414 rank=8 auc=0.6629 f1=0.3161 ETA 0.2h
[151/1000] breastmnist n=50 s=42 rank=0 auc=0.7801 f1=0.6578 ETA 0.2h
[152/1000] breastmnist n=50 s=42 rank=1 auc=0.7838 f1=0.6578 ETA 0.2h
[153/1000] breastmnist n=50 s=42 rank=2 auc=0.7982 f1=0.6744 ETA 0.2h
[154/1000] breastmnist n=50 s=42 rank=4 auc=0.8041 f1=0.7111 ETA 0.2h
[155/1000] breastmnist n=50 s=42 rank=8 auc=0.7905 f1=0.5795 ETA 0.2h
[156/1000] breastmnist n=50 s=123 rank=0 auc=0.7548 f1=0.7057 ETA 0.2h
[157/1000] breastmnist n=50 s=123 rank=1 auc=0.7661 f1=0.6971 ETA 0.2h
[158/1000] breastmnist n=50 s=123 rank=2 auc=0.7571 f1=0.6860 ETA 0.2h
[159/1000] breastmnist n=50 s=123 rank=4 auc=0.7569 f1=0.6917 ETA 0.2h
[160/1000] breastmnist n=50 s=123 rank=8 auc=0.7536 f1=0.6253 ETA 0.2h
[161/1000] breastmnist n=50 s=2026 rank=0 auc=0.7381 f1=0.6538 ETA 0.2h
[162/1000] breastmnist n=50 s=2026 rank=1 auc=0.7304 f1=0.6430 ETA 0.2h
[163/1000] breastmnist n=50 s=2026 rank=2 auc=0.7245 f1=0.5476 ETA 0.2h
[164/1000] breastmnist n=50 s=2026 rank=4 auc=0.7277 f1=0.5741 ETA 0.2h
[165/1000] breastmnist n=50 s=2026 rank=8 auc=0.7402 f1=0.6686 ETA 0.2h
[166/1000] breastmnist n=50 s=777 rank=0 auc=0.7107 f1=0.6043 ETA 0.2h
[167/1000] breastmnist n=50 s=777 rank=1 auc=0.7297 f1=0.6413 ETA 0.2h
[168/1000] breastmnist n=50 s=777 rank=2 auc=0.7373 f1=0.6356 ETA 0.2h
[169/1000] breastmnist n=50 s=777 rank=4 auc=0.7358 f1=0.6569 ETA 0.2h
[170/1000] breastmnist n=50 s=777 rank=8 auc=0.7297 f1=0.6149 ETA 0.2h
[171/1000] breastmnist n=50 s=888 rank=0 auc=0.7623 f1=0.6993 ETA 0.2h
[172/1000] breastmnist n=50 s=888 rank=1 auc=0.7396 f1=0.6657 ETA 0.2h
[173/1000] breastmnist n=50 s=888 rank=2 auc=0.7611 f1=0.6897 ETA 0.2h
[174/1000] breastmnist n=50 s=888 rank=4 auc=0.7615 f1=0.7127 ETA 0.2h
[175/1000] breastmnist n=50 s=888 rank=8 auc=0.7638 f1=0.6877 ETA 0.2h
[176/1000] breastmnist n=50 s=31337 rank=0 auc=0.7406 f1=0.6569 ETA 0.2h
[177/1000] breastmnist n=50 s=31337 rank=1 auc=0.7546 f1=0.6462 ETA 0.2h
[178/1000] breastmnist n=50 s=31337 rank=2 auc=0.7496 f1=0.6752 ETA 0.2h
[179/1000] breastmnist n=50 s=31337 rank=4 auc=0.7540 f1=0.6601 ETA 0.2h
[180/1000] breastmnist n=50 s=31337 rank=8 auc=0.7730 f1=0.6936 ETA 0.2h
[181/1000] breastmnist n=50 s=8 rank=0 auc=0.7237 f1=0.6518 ETA 0.2h
[182/1000] breastmnist n=50 s=8 rank=1 auc=0.7335 f1=0.5237 ETA 0.2h
[183/1000] breastmnist n=50 s=8 rank=2 auc=0.7331 f1=0.6800 ETA 0.2h
[184/1000] breastmnist n=50 s=8 rank=4 auc=0.7339 f1=0.6488 ETA 0.2h
[185/1000] breastmnist n=50 s=8 rank=8 auc=0.7427 f1=0.6852 ETA 0.2h
[186/1000] breastmnist n=50 s=271828 rank=0 auc=0.7439 f1=0.4222 ETA 0.2h
[187/1000] breastmnist n=50 s=271828 rank=1 auc=0.7400 f1=0.6820 ETA 0.2h
[188/1000] breastmnist n=50 s=271828 rank=2 auc=0.7408 f1=0.6287 ETA 0.2h
[189/1000] breastmnist n=50 s=271828 rank=4 auc=0.7429 f1=0.5582 ETA 0.2h
[190/1000] breastmnist n=50 s=271828 rank=8 auc=0.7431 f1=0.6470 ETA 0.2h
[191/1000] breastmnist n=50 s=161803 rank=0 auc=0.7542 f1=0.6955 ETA 0.2h
[192/1000] breastmnist n=50 s=161803 rank=1 auc=0.7556 f1=0.6727 ETA 0.2h
[193/1000] breastmnist n=50 s=161803 rank=2 auc=0.7425 f1=0.6307 ETA 0.2h
[194/1000] breastmnist n=50 s=161803 rank=4 auc=0.7404 f1=0.6627 ETA 0.2h
[195/1000] breastmnist n=50 s=161803 rank=8 auc=0.7594 f1=0.6690 ETA 0.2h
[196/1000] breastmnist n=50 s=1414 rank=0 auc=0.7705 f1=0.6029 ETA 0.2h
[197/1000] breastmnist n=50 s=1414 rank=1 auc=0.7680 f1=0.6695 ETA 0.2h
[198/1000] breastmnist n=50 s=1414 rank=2 auc=0.7751 f1=0.7151 ETA 0.2h
[199/1000] breastmnist n=50 s=1414 rank=4 auc=0.7742 f1=0.7151 ETA 0.2h
[200/1000] breastmnist n=50 s=1414 rank=8 auc=0.6995 f1=0.6100 ETA 0.2h
[216/1000] breastmnist n=100 s=777 rank=0 auc=0.7815 f1=0.7231 ETA 0.2h
[217/1000] breastmnist n=100 s=777 rank=1 auc=0.8012 f1=0.7115 ETA 0.2h
[218/1000] breastmnist n=100 s=777 rank=2 auc=0.7972 f1=0.7265 ETA 0.2h
[219/1000] breastmnist n=100 s=777 rank=4 auc=0.7978 f1=0.7026 ETA 0.2h
[220/1000] breastmnist n=100 s=777 rank=8 auc=0.8043 f1=0.7225 ETA 0.2h
[221/1000] breastmnist n=100 s=888 rank=0 auc=0.8147 f1=0.7607 ETA 0.2h
[222/1000] breastmnist n=100 s=888 rank=1 auc=0.8066 f1=0.7141 ETA 0.2h
[223/1000] breastmnist n=100 s=888 rank=2 auc=0.8158 f1=0.6911 ETA 0.2h
[224/1000] breastmnist n=100 s=888 rank=4 auc=0.8139 f1=0.7370 ETA 0.2h
[225/1000] breastmnist n=100 s=888 rank=8 auc=0.8218 f1=0.6539 ETA 0.2h
[226/1000] breastmnist n=100 s=31337 rank=0 auc=0.7711 f1=0.6742 ETA 0.2h
[227/1000] breastmnist n=100 s=31337 rank=1 auc=0.8223 f1=0.7092 ETA 0.2h
[228/1000] breastmnist n=100 s=31337 rank=2 auc=0.7863 f1=0.6974 ETA 0.2h
[229/1000] breastmnist n=100 s=31337 rank=4 auc=0.7872 f1=0.6983 ETA 0.2h
[230/1000] breastmnist n=100 s=31337 rank=8 auc=0.8181 f1=0.7174 ETA 0.2h
[231/1000] breastmnist n=100 s=8 rank=0 auc=0.7803 f1=0.7049 ETA 0.2h
[232/1000] breastmnist n=100 s=8 rank=1 auc=0.7600 f1=0.6601 ETA 0.2h
[233/1000] breastmnist n=100 s=8 rank=2 auc=0.7903 f1=0.7393 ETA 0.2h
[234/1000] breastmnist n=100 s=8 rank=4 auc=0.7966 f1=0.7071 ETA 0.2h
[235/1000] breastmnist n=100 s=8 rank=8 auc=0.8014 f1=0.7332 ETA 0.2h
[236/1000] breastmnist n=100 s=271828 rank=0 auc=0.7581 f1=0.6630 ETA 0.2h
[237/1000] breastmnist n=100 s=271828 rank=1 auc=0.7868 f1=0.7127 ETA 0.2h
[238/1000] breastmnist n=100 s=271828 rank=2 auc=0.7884 f1=0.6690 ETA 0.2h
[239/1000] breastmnist n=100 s=271828 rank=4 auc=0.7941 f1=0.6993 ETA 0.2h
[240/1000] breastmnist n=100 s=271828 rank=8 auc=0.7947 f1=0.6935 ETA 0.2h
[241/1000] breastmnist n=100 s=161803 rank=0 auc=0.7657 f1=0.6714 ETA 0.2h
[242/1000] breastmnist n=100 s=161803 rank=1 auc=0.7918 f1=0.6975 ETA 0.2h
[243/1000] breastmnist n=100 s=161803 rank=2 auc=0.7865 f1=0.7188 ETA 0.2h
[244/1000] breastmnist n=100 s=161803 rank=4 auc=0.7897 f1=0.7127 ETA 0.2h
[245/1000] breastmnist n=100 s=161803 rank=8 auc=0.8083 f1=0.7174 ETA 0.2h
